iter	Passed	Remaining
0	2	2556
1	4	2474
2	7	2391
3	9	2367
4	11	2370
5	14	2342
6	16	2337
7	18	2328
8	21	2330
9	23	2324
10	25	2318
11	28	2309
12	30	2314
13	32	2319
14	35	2326
15	37	2321
16	40	2327
17	42	2315
18	44	2319
19	47	2317
20	49	2315
21	52	2322
22	54	2332
23	57	2332
24	60	2340
25	62	2349
26	65	2353
27	68	2380
28	71	2387
29	73	2388
30	76	2394
31	79	2395
32	81	2395
33	85	2415
34	87	2414
35	90	2417
36	92	2418
37	95	2417
38	98	2426
39	101	2431
40	103	2429
41	106	2436
42	109	2437
43	112	2437
44	115	2453
45	118	2457
46	121	2459
47	123	2456
48	126	2456
49	129	2459
50	132	2465
51	135	2467
52	138	2468
53	141	2471
54	143	2470
55	146	2474
56	149	2476
57	152	2475
58	154	2470
59	157	2466
60	159	2458
61	162	2459
62	165	2455
63	167	2450
64	170	2445
65	172	2439
66	174	2433
67	177	2431
68	179	2428
69	182	2425
70	184	2418
71	187	2413
72	189	2410
73	192	2411
74	195	2409
75	197	2405
76	200	2401
77	202	2399
78	205	2394
79	208	2393
80	210	2389
81	212	2384
82	215	2380
83	217	2376
84	220	2372
85	222	2369
86	225	2365
87	227	2360
88	230	2355
89	232	2352
90	235	2347
91	237	2347
92	240	2343
93	242	2340
94	245	2338
95	248	2336
96	250	2334
97	253	2332
98	256	2334
99	259	2333
100	261	2330
101	264	2328
102	267	2326
103	269	2325
104	272	2326
105	275	2322
106	278	2322
107	280	2318
108	283	2316
109	286	2314
110	289	2316
111	291	2314
112	294	2310
113	297	2310
114	299	2307
115	302	2303
116	305	2303
117	307	2298
118	309	2294
119	312	2293
120	315	2290
121	318	2288
122	320	2288
123	323	2285
124	326	2283
125	328	2280
126	331	2276
127	334	2277
128	337	2277
129	339	2274
130	342	2271
131	344	2267
132	347	2263
133	349	2260
134	352	2259
135	355	2257
136	357	2253
137	360	2249
138	362	2245
139	364	2242
140	367	2239
141	370	2236
142	372	2232
143	375	2230
144	377	2226
145	380	2222
146	382	2220
147	385	2218
148	387	2215
149	390	2213
150	393	2210
151	395	2207
152	398	2203
153	400	2200
154	403	2197
155	405	2193
156	407	2189
157	410	2186
158	412	2183
159	415	2181
160	417	2177
161	420	2174
162	422	2170
163	425	2168
164	428	2166
165	430	2163
166	433	2160
167	435	2156
168	437	2153
169	440	2151
170	443	2148
171	445	2146
172	449	2146
173	451	2144
174	454	2142
175	457	2139
176	459	2138
177	463	2139
178	466	2138
179	468	2135
180	471	2132
181	473	2130
182	476	2129
183	479	2128
184	482	2126
185	485	2123
186	487	2121
187	490	2119
188	493	2119
189	496	2117
190	499	2115
191	502	2113
192	505	2112
193	508	2111
194	511	2109
195	513	2107
196	516	2106
197	519	2103
198	522	2101
199	525	2100
200	528	2099
201	530	2097
202	533	2094
203	536	2092
204	538	2089
205	541	2088
206	544	2085
207	547	2084
208	549	2081
209	552	2079
210	555	2076
211	558	2074
212	560	2072
213	563	2070
214	566	2067
215	568	2064
216	571	2062
217	573	2058
218	576	2056
219	579	2053
220	581	2050
221	584	2048
222	586	2044
223	589	2041
224	591	2038
225	594	2035
226	596	2031
227	599	2028
228	601	2025
229	604	2023
230	606	2020
231	609	2017
232	611	2014
233	614	2011
234	616	2008
235	619	2005
236	621	2002
237	624	1999
238	626	1995
239	629	1991
240	631	1988
241	633	1985
242	636	1982
243	639	1980
244	641	1977
245	644	1976
246	647	1973
247	650	1971
248	653	1969
249	655	1966
250	658	1964
251	661	1962
252	664	1960
253	666	1958
254	669	1956
255	672	1954
256	675	1951
257	677	1949
258	680	1947
259	683	1945
260	686	1942
261	688	1940
262	691	1938
263	694	1935
264	696	1932
265	699	1929
266	701	1927
267	704	1924
268	707	1921
269	709	1918
270	712	1915
271	714	1913
272	717	1910
273	719	1906
274	722	1904
275	724	1901
276	726	1897
277	729	1893
278	731	1891
279	733	1887
280	736	1883
281	738	1880
282	740	1876
283	743	1873
284	745	1869
285	747	1866
286	750	1863
287	752	1860
288	754	1856
289	756	1853
290	759	1849
291	761	1846
292	763	1843
293	766	1840
294	768	1836
295	770	1833
296	773	1829
297	775	1826
298	777	1823
299	780	1820
300	782	1817
301	784	1813
302	786	1810
303	789	1806
304	791	1803
305	793	1800
306	796	1796
307	798	1793
308	800	1790
309	802	1786
310	805	1783
311	807	1780
312	809	1777
313	812	1774
314	814	1770
315	816	1767
316	819	1764
317	821	1761
318	823	1758
319	826	1755
320	828	1753
